Symbol,ZSN2020,,,
Prices,947 is $9.47 per bushel,,,
,,,,
Date,Open,High,Low,Close
11/14/2016,947,947,947,947
11/15/2016,945.5,945.5,945.5,945.5
11/16/2016,946,946,946,946
11/17/2016,951.75,951.75,951.75,951.75
11/18/2016,944.75,944.75,944.75,944.75
11/21/2016,956.5,956.5,956.5,956.5
11/22/2016,958.5,958.5,958.5,958.5
11/23/2016,956,956,956,956
11/25/2016,962.5,962.5,962.5,962.5
11/28/2016,967.25,967.25,967.25,967.25
11/29/2016,961.5,961.5,961.5,961.5
11/30/2016,956.5,956.5,956.5,956.5
12/1/2016,957.25,957.25,957.25,957.25
12/2/2016,958.75,958.75,958.75,958.75
12/5/2016,963.25,963.25,963.25,963.25
12/6/2016,963,963,963,963
12/7/2016,966.5,966.5,966.5,966.5
12/8/2016,958,958,958,958
12/9/2016,973.25,973.25,973.25,973.25
12/12/2016,969.25,969.25,969.25,969.25
12/13/2016,967.5,967.5,967.5,967.5
12/14/2016,965,965,965,965
12/15/2016,967.25,967.25,967.25,967.25
12/16/2016,968.25,968.25,968.25,968.25
12/19/2016,963.25,963.25,963.25,963.25
12/20/2016,957.5,957.5,957.5,957.5
12/21/2016,961,961,961,961
12/22/2016,952,952,952,952
12/23/2016,948.75,948.75,948.75,948.75
12/27/2016,962,962,962,962
12/28/2016,956.25,956.25,956.25,956.25
12/29/2016,954,954,954,954
12/30/2016,950,950,950,950
1/3/2017,946.25,946.25,946.25,946.25
1/4/2017,958.25,958.25,958.25,958.25
1/5/2017,955.75,955.75,955.75,955.75
1/6/2017,946,946,946,946
1/9/2017,951,951,951,951
1/10/2017,956.25,956.25,956.25,956.25
1/11/2017,953,953,953,953
1/12/2017,962,962,962,962
1/13/2017,956,956,956,956
1/17/2017,958.25,958.25,958.25,958.25
1/18/2017,964.5,964.5,964.5,964.5
1/19/2017,963.75,963.75,963.75,963.75
1/20/2017,967.5,967.5,967.5,967.5
1/23/2017,965,965,965,965
1/24/2017,965.75,965.75,965.75,965.75
1/25/2017,964.75,964.75,964.75,964.75
1/26/2017,965.25,965.25,965.25,965.25
1/27/2017,966,966,966,966
1/30/2017,953,953,953,953
1/31/2017,950.5,950.5,950.5,950.5
2/1/2017,961,961,961,961
2/2/2017,965.5,965.5,965.5,965.5
2/3/2017,957.25,957.25,957.25,957.25
2/6/2017,963.75,963.75,963.75,963.75
2/7/2017,963.5,963.5,963.5,963.5
2/8/2017,967.5,967.5,967.5,967.5
2/9/2017,966.5,966.5,966.5,966.5
2/10/2017,966.5,966.5,966.5,966.5
2/13/2017,966.75,966.75,966.75,966.75
2/14/2017,965.75,965.75,965.75,965.75
2/15/2017,972.75,972.75,972.75,972.75
2/16/2017,967.25,967.25,967.25,967.25
2/17/2017,965.75,965.75,965.75,965.75
2/21/2017,965.75,965.75,965.75,965.75
2/22/2017,967.25,967.25,967.25,967.25
2/23/2017,965.75,965.75,965.75,965.75
2/24/2017,966.5,966.5,966.5,966.5
2/27/2017,967.25,967.25,967.25,967.25
2/28/2017,975.75,975.75,975.75,975.75
3/1/2017,985.25,985.25,985.25,985.25
3/2/2017,979,979,979,979
3/3/2017,982.75,982.75,982.75,982.75
3/6/2017,983.75,983.75,983.75,983.75
3/7/2017,974.75,974.75,974.75,974.75
3/8/2017,970,970,970,970
3/9/2017,971,971,971,971
3/10/2017,966,966,966,966
3/13/2017,971.25,971.25,971.25,971.25
3/14/2017,970.5,970.5,970.5,970.5
3/15/2017,969.25,969.25,969.25,969.25
3/16/2017,972.5,972.5,972.5,972.5
3/17/2017,972.5,972.5,972.5,972.5
3/20/2017,972.25,972.25,972.25,972.25
3/21/2017,975.5,975.5,975.5,975.5
3/22/2017,976.5,976.5,976.5,976.5
3/23/2017,971.5,971.5,971.5,971.5
3/24/2017,968,968,968,968
3/27/2017,966.5,966.5,966.5,966.5
3/28/2017,965.75,965.75,962.75,962.75
3/29/2017,959.75,959.75,959.75,959.75
3/30/2017,956.5,956.5,956.5,956.5
3/31/2017,955,955,955,955
4/3/2017,954.75,954.75,954.75,954.75
4/4/2017,954.5,954.5,954.5,954.5
4/5/2017,960,960,960,960
4/6/2017,954.25,954.25,954.25,954.25
4/7/2017,957.25,957.25,957.25,957.25
4/10/2017,957.5,957.5,957.5,957.5
4/11/2017,952,952,952,952
4/12/2017,957,957,957,957
4/13/2017,961.5,961.5,961.5,961.5
4/17/2017,960.25,960.25,960.25,960.25
4/18/2017,956.75,956.75,956.75,956.75
