Symbol,ZSH2020,,,
Prices,978.5 is $9.785 per bushel,,,
,,,,
Date,Open,High,Low,Close
11/14/2017,978.5,978.5,978.5,978.5
11/15/2017,985,985,985,985
11/16/2017,983,983,983,983
11/17/2017,996.5,996.5,996.5,996.5
11/20/2017,998.5,998.5,998.5,998.5
11/21/2017,998,998,998,998
11/22/2017,1003,1003,1003,1003
11/24/2017,1000.5,1000.5,1000.5,1000.5
11/27/2017,1001.75,1001.75,1001.75,1001.75
11/28/2017,1001.75,1001.75,1001.75,1001.75
11/29/2017,1000.25,1000.25,1000.25,1000.25
11/30/2017,997.75,997.75,997.75,997.75
12/1/2017,1004.5,1004.5,1004.5,1004.5
12/4/2017,1004.75,1004.75,1004.75,1004.75
12/5/2017,1010,1010,1010,1010
12/6/2017,1006.25,1006.25,1006.25,1006.25
12/7/2017,997.25,997.25,997.25,997.25
12/8/2017,996,996,996,996
12/11/2017,992,992,992,992
12/12/2017,987.5,987.5,987.5,987.5
12/13/2017,990.5,990.5,990.5,990.5
12/14/2017,984,984,984,984
12/15/2017,984.25,984.25,984.25,984.25
12/18/2017,980.25,980.25,980.25,980.25
12/19/2017,976.5,976.5,976.5,976.5
12/20/2017,976,976,976,976
12/21/2017,976.25,976.25,976.25,976.25
12/22/2017,976.75,976.75,976.75,976.75
12/26/2017,984.75,984.75,984.75,984.75
12/27/2017,984.25,984.25,984.25,984.25
12/28/2017,979.5,979.5,979.5,979.5
12/29/2017,981.25,981.25,981.25,981.25
1/2/2018,986.25,986.25,986.25,986.25
1/3/2018,987,987,987,987
1/4/2018,986.25,986.25,986.25,986.25
1/5/2018,988,988,988,988
1/8/2018,986.75,986.75,986.75,986.75
1/9/2018,985.75,985.75,985.75,985.75
1/10/2018,978.75,978.75,978.75,978.75
1/11/2018,977,977,977,977
1/12/2018,989,989,989,989
1/16/2018,991.75,991.75,991.75,991.75
1/17/2018,991.75,991.75,991.75,991.75
1/18/2018,995.75,995.75,995.75,995.75
1/19/2018,996,996,996,996
1/22/2018,999,999,999,999
1/23/2018,1001.25,1001.25,1001.25,1001.25
1/24/2018,1003.75,1003.75,1003.75,1003.75
1/25/2018,1004.75,1004.75,1004.75,1004.75
1/26/2018,1001.5,1001.5,1001.5,1001.5
1/29/2018,1004,1004,1004,1004
1/30/2018,1007,1007,1007,1007
1/31/2018,1004.25,1004.25,1004.25,1004.25
2/1/2018,999.75,999.75,999.75,999.75
2/2/2018,994,994,994,994
2/5/2018,989,989,989,989
2/6/2018,1000.75,1000.75,1000.75,1000.75
2/7/2018,996.75,996.75,996.75,996.75
2/8/2018,1000.25,1000.25,1000.25,1000.25
2/9/2018,996,996,996,996
2/12/2018,1002.75,1002.75,1002.75,1002.75
2/13/2018,1002.75,1002.75,1002.75,1002.75
2/14/2018,999.25,999.25,999.25,999.25
2/15/2018,1003.75,1003.75,1003.75,1003.75
2/16/2018,1003,1003,1003,1003
2/20/2018,1005.25,1005.25,1005.25,1005.25
2/21/2018,1005.75,1005.75,1005.75,1005.75
2/22/2018,1004.75,1004.75,1004.75,1004.75
2/23/2018,1007.25,1007.25,1007.25,1007.25
2/26/2018,1005.75,1007.75,1005.75,1007.75
2/27/2018,1006.25,1006.25,1006.25,1006.25
2/28/2018,1005.5,1005.5,1005.5,1005.5
3/1/2018,1005.75,1005.75,1005.75,1005.75
3/2/2018,1000.75,1000.75,1000.75,1000.75
3/5/2018,1004.75,1004.75,1004.75,1004.75
3/6/2018,1012.25,1012.25,1012.25,1012.25
3/7/2018,1012.5,1012.5,1012.5,1012.5
3/8/2018,1010,1012.5,1009.5,1012.5
3/9/2018,1001.75,1001.75,1001.75,1001.75
3/12/2018,1009,1009,1009,1009
3/13/2018,1014.25,1014.25,1014.25,1014.25
3/14/2018,1003,1003,1003,1003
3/15/2018,1004.75,1004.75,1004.75,1004.75
3/16/2018,1010,1010,1010,1010
3/19/2018,1002.25,1002.25,1002.25,1002.25
3/20/2018,1004,1004,1004,1004
3/21/2018,1003,1003,1003,1003
3/22/2018,1002.75,1002.75,1002.75,1002.75
3/23/2018,1001.75,1001.75,1001.75,1001.75
3/26/2018,1001.25,1001.25,1001.25,1001.25
3/27/2018,996.75,996.75,996.75,996.75
3/28/2018,993.25,993.25,993.25,993.25
3/29/2018,1009.5,1009.5,1009.5,1009.5
4/2/2018,1000.75,1000.75,1000.75,1000.75
4/3/2018,1000.75,1000.75,1000.75,1000.75
4/4/2018,988.5,988.5,988.5,988.5
4/5/2018,996,996,996,996
4/6/2018,995.5,995.5,995.5,995.5
4/9/2018,998.25,998.25,998.25,998.25
4/10/2018,1003.75,1003.75,1003.75,1003.75
4/11/2018,1002.5,1002.5,1002.5,1002.5
4/12/2018,1000,1000,1000,1000
4/13/2018,997.5,997.5,997.5,997.5
4/16/2018,992.5,992.5,992.5,992.5
4/17/2018,994.75,994.75,994.75,994.75
4/18/2018,999.5,999.5,999.5,999.5
4/19/2018,1000.75,1000.75,1000.75,1000.75
4/20/2018,995.25,995.25,995.25,995.25
4/23/2018,993.75,993.75,993.75,993.75
4/24/2018,990,990,990,990
4/25/2018,992,992,992,992
4/26/2018,991,991,991,991
4/27/2018,999.5,999.5,999.5,999.5
4/30/2018,999.5,999.5,999.5,999.5
5/1/2018,1006.25,1006.25,1006.25,1006.25
5/2/2018,997.75,997.75,997.75,997.75
5/3/2018,998.25,998.25,998.25,998.25
5/4/2018,995,995,995,995
5/7/2018,983,983,983,983
5/8/2018,985.25,985.25,985.25,985.25
5/9/2018,983.25,983.25,981.75,981.75
5/10/2018,986.75,986.75,986.75,986.75
5/11/2018,982,983.75,982,983.75
5/14/2018,984.25,984.25,984.25,984.25
5/15/2018,984.5,984.5,984.5,984.5
5/16/2018,982.75,982.75,982.75,982.75
5/17/2018,982,982,980.75,980.75
5/18/2018,977,977,977,977
5/21/2018,995,995,995,995
5/22/2018,997.75,997.75,997.75,997.75
5/23/2018,1005,1005,1005,1005
5/24/2018,1001.75,1001.75,1001.75,1001.75
